c_0,seller_1_utility,seller_2_utility,seller_3_utility
2,1543.0018934996574,1028.6679289997717,707.4906598867824
4,1370.1639052542885,1027.6229289407165,706.7592461847447
6,1198.2446063926197,1027.0668054793887,706.3922358636527
8,1027.945303296266,1027.945303296266,707.0299086096106
10,878.5463836963527,1107.0287351868576,761.4068658701723
12,761.4303632690419,1107.073929279858,761.4303632690419
14,680.5547006244711,1198.9753406066438,824.6322260370671
16,610.1195800802454,1198.9881335594764,824.6213145825626
18,539.5438209997237,1198.4834243994346,824.3023682395988
