c_max,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
5,142475.50760160285,12619.692542661558,1046.1642997361819,20.0,22.93206668673905,15288.044457826038,1504.8056334709627
8,135840.972440266,10420.305459758787,1045.800560609896,20.0,22.925969040292106,15283.979360194733,1504.3199414157375
11,122230.84462551029,8899.691166721628,955.3177112534547,24.5,18.653488252848724,15164.056637201184,1410.2394103694903
14,109794.26356746315,8968.675324760941,828.8823759318033,32.55555555555555,13.874704601960119,14949.044557199039,1277.3537126477743
17,105596.92204792744,8017.101122397538,815.4561868073481,33.333333333333314,13.443366472147016,14937.07385794113,1263.5684025455819
20,90734.40175822745,9068.800807680504,635.2799933518601,50.0,8.678538877229384,14464.231462048972,1069.2069372133292
