c_max,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
5,85374.94432726846,8508.40325732023,598.4973455530776,20.0,15.444703685475385,10296.469123650266,907.3914192625849
8,80720.84059807823,6963.520908527564,598.3027787249551,20.0,15.439718413699257,10293.145609132835,907.0971469989404
11,73012.65285880386,5966.519590689684,551.130940867348,23.56666666666666,13.121523978200992,10200.100299462354,857.133949851219
14,63805.27710145097,5880.9199023586,461.6251739437515,31.777777777777793,9.541940882056798,9976.176676926343,760.9104742515417
17,60111.612684151536,5302.294170135104,442.0473017374622,33.333333333333314,8.922649916288401,9914.05546254267,739.4689656137423
20,50266.40853027807,5916.425756232036,325.17131261581955,49.888888888888886,5.698106876345179,9464.830674850768,609.1162328613426
