c_max,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
5,122762.87620754684,11217.219526570614,891.1121762783505,20.0,20.442012228617628,13628.008152411754,1299.952420850703
8,116681.78798205953,9212.898966071845,890.4309108384394,20.0,20.429501834200465,13619.667889466982,1299.0209475224492
11,105435.8429271434,7913.714424892855,816.9469965246487,24.13333333333333,16.909497810632196,13504.819239123224,1222.091573698345
14,93911.67755511901,7953.137486565451,700.522650954227,32.33333333333334,12.442463984305334,13289.951005847211,1099.2211811296434
17,89695.54258232685,7111.198543670613,683.6194695131495,33.333333333333314,11.922410682643852,13247.122980715389,1081.0331589346115
20,76653.13829213928,8021.120633622928,525.8977639127052,50.0,7.682737573491503,12804.562622485835,910.0346425872802
