c_max,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
5,142475.50760160285,12619.692542661558,1046.1642997361819,20.0,22.93206668673905,15288.044457826038,1504.8056334709627
8,135840.972440266,10420.305459758787,1045.800560609896,20.0,22.925969040292106,15283.979360194733,1504.3199414157375
11,122281.45611859215,8890.292364308014,956.1057902566818,24.46666666666667,18.68531854646,15165.105509231285,1411.0589555336203
14,109862.04202655872,8956.818062206328,829.9158783993973,32.49999999999999,13.906224858523629,14950.865725875514,1278.4418501756625
17,105596.92204792744,8017.101122397538,815.4561868073481,33.333333333333314,13.443366472147016,14937.07385794113,1263.5684025455819
20,90734.40175822745,9068.800807680504,635.2799933518601,50.0,8.678538877229384,14464.231462048972,1069.2069372133292
