M,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
10,10211.827379074635,1394.1477128969607,742.3531953280717,41.33333333333334,11.02242447524136,2183.001325319667,1178.9534603920051
20,20153.14735368468,2764.495281544373,731.2078395297965,42.33333333333335,10.72565635203281,4349.567986034319,1166.1646381332284
30,30110.637154408443,4166.7094075908435,725.9072779742248,42.66666666666667,10.61859882196501,6511.31086485546,1159.9946689645885
40,40016.070624982065,5536.007276439425,723.6014018025802,42.83333333333332,10.55853701066005,8671.077609487553,1157.1552822769581
50,50077.75873475419,6957.492013105021,723.2554941708827,43.0,10.532062741141424,10853.02253828763,1157.376395702388
60,60514.9938170683,8350.387836748923,730.2369690595077,42.66666666666668,10.629844774913163,13043.291752191864,1165.013360799236
70,68982.76040443654,9722.290081811834,707.6882891544695,44.49999999999999,10.08962677642167,15125.698121607636,1139.8510926289737
80,81176.7109752865,11107.507314628598,737.0212043253667,41.66666666666666,10.917634280079808,17420.847606989006,1172.5423945000914
90,89606.9639421714,12584.900881807567,715.9684686506248,43.83333333333335,10.289566346334318,19494.31376274143,1149.17544115599
