M,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
10,10211.827379074635,1394.1477128969607,742.3531953280717,41.33333333333334,11.02242447524136,2183.001325319667,1178.9534603920051
20,20169.58572946138,2758.700772240444,732.6092092490244,42.166666666666686,10.773016543119722,4350.916612841302,1167.7008705331546
30,30110.637154408443,4166.7094075908435,725.9072779742248,42.66666666666667,10.61859882196501,6511.31086485546,1159.9946689645885
40,40016.070624982065,5536.007276439425,723.6014018025802,42.83333333333332,10.55853701066005,8671.077609487553,1157.1552822769581
50,50077.75873475419,6957.492013105021,723.2554941708827,43.0,10.532062741141424,10853.02253828763,1157.376395702388
60,60606.46845397625,8332.492677263606,732.358051657484,42.50000000000001,10.67739858649113,13049.047601730314,1167.3263050484943
70,68982.76040443654,9722.290081811834,707.6882891544695,44.49999999999999,10.08962677642167,15125.698121607636,1139.8510926289737
80,81110.86709100433,11130.944308936638,735.6122309141383,41.83333333333333,10.870253571075986,17415.73062568302,1171.0054965562135
90,89466.22133125072,12610.038387388748,713.84605062748,44.00000000000001,10.241908498019338,19485.47516283907,1146.8566098016818
