M,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
10,10520.12621810233,844.4242961692596,798.6853329594551,36.33333333333334,12.562710132892992,1466.3639280880066,1238.594511385857
20,20924.30080478711,1712.6398057533663,789.3190693763505,37.16666666666667,12.355990750007706,2929.9335430179904,1228.8091008290494
30,31766.630333495475,2534.230112305188,805.4646665526637,36.44444444444444,12.721444668284272,4409.883181943848,1246.4529847470485
40,42421.06834687897,3351.1217223584536,809.1925794950902,35.88888888888889,12.881331487146559,5874.928835213811,1249.8122421361256
50,52844.333942733945,4224.988234154447,803.387384805412,36.33333333333333,12.64877515346635,7346.733301164386,1244.1913828752756
60,63460.481082764694,5045.7985582728,805.3847567991048,36.22222222222222,12.758375517875782,8806.505437417947,1245.7100286700022
70,73814.57258210143,5892.705883984982,801.9493561449501,36.66666666666667,12.640961422579913,10275.353739803173,1242.3216592793717
80,84743.8835073601,6785.012096664356,804.8605902170879,36.222222222222214,12.804361372350618,11750.514256692264,1245.5048748430477
90,95479.34035812777,7582.432088959127,808.1338232361152,36.16666666666667,12.834362096133725,13227.348991501176,1249.0454562861546
