c_max,socialWelfare,meanSellerUtility,meanBuyerUtility,meanPrice,meanPurchases,meanSellerRevenue,meanBuyerRevenue
5,103535.73577633606,9823.458727556756,740.6535959366573,20.0,17.926963885368437,11951.309256912295,1099.1928736440263
8,98143.48520477806,8039.109997826852,740.2615521129751,20.0,17.921342752447227,11947.561834964818,1098.6884071619197
11,88678.17971540474,6944.4212458893335,678.4491597773672,24.033333333333335,14.906942474852858,11847.76416829294,1033.8820848261557
14,78347.89090600914,6925.341945589429,575.7186506924086,32.27777777777778,10.911628698468792,11630.487124194582,924.633264418246
17,74659.9576383676,6194.621816226214,560.7609218968898,33.333333333333314,10.437850806219503,11597.612006910564,908.6892821042063
20,63125.13612421852,6972.88156108974,422.0649144094929,50.0,6.682907325483444,11138.178875805741,756.2102806836655
